area,price,longitude,latitude,legal,furniture,frontage,floor,bedroom,toilet
32.0,3.9,105.904709820055,21.0129679289843,1.0,2.0,,5.0,3.0,4.0
40.0,6.2,105.843561158662,20.9837877184237,1.0,2.0,4.0,5.0,,
63.0,7.5,105.866509418026,21.0494494348388,1.0,1.0,,5.0,5.0,
33.0,5.6,105.866750529605,21.049610518279,1.0,2.0,,5.0,3.0,4.0
30.0,4.9,105.742220633977,20.9996311939012,1.0,1.0,3.6,5.0,3.0,4.0
50.0,8.5,105.794770988866,21.0231911264116,1.0,2.0,,,9.0,
45.0,6.45,105.893287972044,21.0266415346901,1.0,2.0,,5.0,5.0,4.0
40.0,11.1,105.762637289876,21.045199012172,1.0,2.0,3.2,5.0,8.0,8.0
60.0,21.3,105.80995347035,21.0193858354894,1.0,1.0,5.2,5.0,4.0,4.0
42.0,6.45,105.879446719292,20.9821747038058,1.0,2.0,,4.0,4.0,
32.0,3.5,105.72203649996,20.9662478097078,1.0,1.0,,4.0,3.0,3.0
40.0,4.35,105.86146123861,20.9285822066984,1.0,1.0,5.0,4.0,4.0,3.0
60.0,9.9,105.797129484018,20.9682426035977,1.0,2.0,,9.0,,
38.0,8.91,105.801400825882,21.0461863591954,1.0,2.0,4.6,6.0,3.0,4.0
37.0,8.0,105.824480534643,21.040795357267,1.0,1.0,6.0,2.0,2.0,2.0
55.0,12.0,105.809709639187,21.0019689580321,1.0,2.0,7.5,5.0,5.0,
30.0,5.85,105.829693537491,21.0026315174454,1.0,1.0,5.0,6.0,4.0,3.0
35.0,6.15,105.774222449525,21.0271566753026,1.0,2.0,,5.0,3.0,4.0
65.0,11.8,105.8568166,20.9885384,1.0,1.0,,4.0,5.0,5.0
80.0,24.5,105.865630189351,21.0025948407917,1.0,1.0,5.0,4.0,4.0,4.0
86.0,23.0,105.7931517,20.9881778,1.0,2.0,6.0,5.0,,
36.5,6.18,105.825483249155,21.0345109168428,1.0,1.0,,5.0,3.0,4.0
40.5,6.3,105.783062126147,20.9639273708332,1.0,2.0,7.0,4.0,4.0,4.0
60.0,11.6,105.772224788548,20.9681950203742,1.0,2.0,,5.0,,
40.0,8.1,105.917605646985,21.0211234369954,1.0,2.0,,6.0,4.0,4.0
42.0,7.5,105.835024140813,20.9714840368302,1.0,2.0,3.8,4.0,4.0,3.0
47.0,8.3,105.82540472547,21.0352532920191,1.0,2.0,6.0,5.0,5.0,5.0
32.0,11.5,105.839979131644,21.031351464713,1.0,1.0,,6.0,7.0,5.0
32.0,6.5,105.872574175441,21.0378122527588,1.0,2.0,,,,
30.0,8.5,105.808440846794,21.02035127885,1.0,2.0,3.2,5.0,3.0,4.0
80.8,6.39,105.784782191722,21.0915331751862,1.0,2.0,6.6,2.0,4.0,2.0
44.0,11.7,105.77429199532,21.0272881963021,1.0,2.0,,7.0,9.0,10.0
32.0,5.0,105.761460238439,20.9722071500299,1.0,2.0,4.0,5.0,3.0,4.0
46.0,6.5,105.780731735833,21.0588919765999,1.0,2.0,6.5,2.0,2.0,2.0
36.0,7.45,105.79410723029,21.0348491256697,1.0,1.0,3.3,5.0,5.0,4.0
45.0,4.45,105.757743459223,21.0852321478548,1.0,2.0,5.0,5.0,4.0,4.0
38.5,8.4,105.810956815872,21.0510662654085,1.0,0.0,6.0,2.0,2.0,2.0
23.0,2.5,105.84998224995,20.9836525825029,,2.0,,4.0,2.0,3.0
43.0,8.0,105.865793300471,21.0039104443811,1.0,2.0,,4.0,3.0,4.0
45.0,6.9,105.774717102975,21.0741972671533,1.0,2.0,3.5,4.0,4.0,4.0
48.0,7.2,105.781453563383,21.0924163607544,1.0,2.0,5.0,4.0,2.0,4.0
50.0,10.0,105.858130403402,21.0319053992995,1.0,1.0,4.0,3.0,,
32.0,8.6,105.825075611039,21.0352435640851,1.0,2.0,,5.0,3.0,4.0
35.0,7.87,105.833597265054,21.0269974876791,1.0,2.0,3.2,5.0,3.0,3.0
48.0,5.8,105.757831281688,21.0853188810397,1.0,2.0,5.0,5.0,9.0,5.0
50.0,15.0,105.785759153876,20.9852011829432,1.0,2.0,4.0,7.0,4.0,6.0
38.0,6.2,105.786471142065,20.9749751630811,1.0,2.0,4.0,5.0,4.0,4.0
32.0,5.0,105.775404078797,20.9788105483859,1.0,1.0,4.0,5.0,3.0,4.0
78.0,10.9,105.78123619522,21.0870180077601,1.0,2.0,5.5,4.0,4.0,4.0
81.0,14.0,105.781639116538,21.0866147786034,1.0,2.0,4.3,3.0,3.0,3.0
105.0,16.5,105.784484646733,21.0879647386594,1.0,2.0,4.6,7.0,21.0,21.0
50.0,8.6,105.760140290811,20.9708681983962,1.0,2.0,4.0,5.0,4.0,5.0
38.0,6.5,105.81745315991,21.0776586800338,1.0,2.0,4.5,5.0,3.0,4.0
55.0,21.9,105.762392697655,21.020637364646,1.0,2.0,4.0,5.0,6.0,4.0
68.0,12.0,105.8201087,21.012597,,,4.0,4.0,4.0,3.0
32.0,6.0,105.777230166572,20.9684865031567,1.0,1.0,3.5,5.0,3.0,4.0
45.0,14.6,105.799478772725,21.0459937586648,1.0,2.0,4.0,6.0,6.0,4.0
38.0,6.8,105.873945192933,20.9958721176385,1.0,2.0,6.0,5.0,5.0,4.0
61.0,24.5,105.786148761234,21.036704369782,1.0,2.0,5.0,7.0,5.0,5.0
32.0,3.5,105.767892038339,20.9651849177152,1.0,2.0,3.5,5.0,3.0,4.0
42.0,5.5,105.92258700042,21.0370008005801,1.0,1.0,4.5,4.0,5.0,4.0
80.0,16.8,105.779544659648,21.0409851306861,1.0,2.0,5.0,7.0,6.0,
32.0,6.0,105.77694521238,20.9663518340369,1.0,1.0,3.5,5.0,3.0,4.0
65.0,25.5,105.772825482837,21.0351568831128,1.0,1.0,,7.0,6.0,5.0
50.0,17.5,105.808326536722,21.020311162662,1.0,0.0,4.2,3.0,3.0,2.0
45.0,9.0,105.872942582462,21.0394496595085,1.0,2.0,,6.0,3.0,4.0
43.0,13.5,105.840926153819,20.9918869985378,1.0,1.0,4.0,7.0,4.0,5.0
48.0,15.6,105.811232852298,21.0902521442303,1.0,1.0,4.5,5.0,6.0,4.0
88.0,35.5,105.802545027076,20.9991833652806,1.0,1.0,,5.0,,
57.0,19.8,105.828307259341,21.0001113686614,1.0,2.0,5.0,5.0,6.0,5.0
30.0,5.68,105.829970576793,20.9832244228694,1.0,2.0,4.5,4.0,3.0,4.0
